"id","ville","date_mesure","Annee","MoisMesure","Temperature_maximale°","Temperature_minimale°","Vitesse_de_vent_km_h","Temperatur_de_vent°","Precipitation_mm","Humidite_en_pourcentage","Visibilite_km","Couverture_nuageuse_en_pourcentage","indice_chaleur","Point_rosee_°C","Pression_hPa","lever_soleil","coucher_soleil"
"1","oran","2009-01-02","2009","01","14","13","15","11","0","80","9.875","62","14","11","1022","08:12:00","18:01:00"
"2","oran","2009-01-03","2009","01","16","14","26","12","1","84","9.875","88","16","12","1019","08:13:00","18:02:00"
"3","oran","2009-01-04","2009","01","12","11","31","9","3","88","9.875","86","12","10","1017","08:13:00","18:03:00"
"4","oran","2009-01-05","2009","01","14","11","7","11","1","80","10","54","15","9","1019","08:13:00","18:03:00"
"5","oran","2009-01-06","2009","01","13","12","27","10","1","77","10","49","13","8","1015","08:13:00","18:04:00"
"6","oran","2009-01-07","2009","01","12","10","13","9","1","79","10","55","12","8","1013","08:13:00","18:05:00"
"7","oran","2009-01-08","2009","01","13","9","13","7","0","74","10","31","13","7","1015","08:13:00","18:06:00"
"8","oran","2009-01-09","2009","01","12","10","18","7","0","69","10","22","12","5","1020","08:13:00","18:07:00"
"9","oran","2009-01-10","2009","01","12","8","9","7","2","74","9.875","39","12","6","1021","08:13:00","18:08:00"
"10","oran","2009-01-11","2009","01","14","10","25","8","1","74","9.375","42","14","7","1024","08:12:00","18:09:00"
"11","oran","2009-01-12","2009","01","12","11","22","8","1","86","10","71","12","9","1025","08:12:00","18:10:00"
"12","oran","2009-01-13","2009","01","13","9","27","7","1","87","9","50","13","8","1024","08:12:00","18:11:00"
"13","oran","2009-01-14","2009","01","12","11","16","9","5","86","9.625","59","13","10","1021","08:12:00","18:11:00"
"14","oran","2009-01-15","2009","01","15","9","13","8","0","76","10","11","17","8","1021","08:12:00","18:12:00"
"15","oran","2009-01-16","2009","01","14","11","13","11","1","69","9.375","58","14","8","1019","08:11:00","18:13:00"
"16","oran","2009-01-17","2009","01","15","11","21","11","0","69","10","17","15","9","1022","08:11:00","18:14:00"
"17","oran","2009-01-18","2009","01","14","11","20","12","1","89","8.875","45","14","10","1025","08:11:00","18:15:00"
"18","oran","2009-01-19","2009","01","16","11","29","9","0","67","10","33","16","10","1025","08:10:00","18:16:00"
"19","oran","2009-01-20","2009","01","14","11","36","8","1","79","9","69","14","9","1011","08:10:00","18:17:00"
"20","oran","2009-01-21","2009","01","10","8","24","5","0","78","9.75","22","10","4","1019","08:09:00","18:18:00"
"21","oran","2009-01-22","2009","01","13","11","39","8","1","80","9","45","13","8","1021","08:09:00","18:19:00"
"22","oran","2009-01-23","2009","01","16","14","45","12","0","82","10","60","16","13","1017","08:08:00","18:20:00"
"23","oran","2009-01-24","2009","01","16","15","54","15","1","80","9.375","36","16","12","1015","08:08:00","18:22:00"
"24","oran","2009-01-25","2009","01","15","14","32","11","3","72","9.625","68","15","10","1014","08:07:00","18:23:00"
"25","oran","2009-01-26","2009","01","11","10","40","6","2","78","9.625","24","12","7","1016","08:07:00","18:24:00"
"26","oran","2009-01-27","2009","01","12","10","42","9","0","73","10","14","12","9","1021","08:06:00","18:25:00"
"27","oran","2009-01-28","2009","01","15","12","31","9","0","82","10","28","15","10","1022","08:05:00","18:26:00"
"28","oran","2009-01-29","2009","01","16","14","27","12","0","76","10","16","16","11","1020","08:05:00","18:27:00"
"29","oran","2009-01-30","2009","01","20","13","12","14","0","66","10","1","25","11","1019","08:04:00","18:28:00"
"30","oran","2009-01-31","2009","01","14","11","41","8","1","73","9.875","29","14","8","1012","08:03:00","18:29:00"
"31","oran","2009-02-01","2009","02","13","11","15","9","1","67","9.875","56","13","7","1011","08:03:00","18:30:00"
"32","oran","2009-02-02","2009","02","19","14","34","13","0","53","10","22","19","7","997","08:02:00","18:31:00"
"33","oran","2009-02-03","2009","02","13","12","42","9","2","76","10","65","13","8","1009","08:01:00","18:32:00"
"34","oran","2009-02-04","2009","02","19","14","21","13","2","76","9.875","33","19","10","1008","08:00:00","18:33:00"
